name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
guwahati,1999-01-01,24.2,14.4,18.7,24.2,14.4,18.7,14.2,77.5,0,0,0,,,,,9.4,360,1016.1,21.7,2.3,,,,,1999-01-01T06:10:26,1999-01-01T16:42:10,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-02,25.1,11.4,17.9,25.1,11.4,17.9,12.6,74.9,0,0,0,,,,,14.8,50,1015.5,1.4,4,,,,,1999-01-02T06:10:43,1999-01-02T16:42:50,0.5,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-03,25.1,11.1,16.8,25.1,11.1,16.8,12.7,79.9,0,0,0,,,,,11.2,50,1014.8,1.3,3,,,,,1999-01-03T06:10:58,1999-01-03T16:43:31,0.54,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-04,24.1,10.1,16.8,24.1,10.1,16.8,12.6,79.1,0,0,0,,,,,7.6,29.5,1014.3,1.4,1.7,,,,,1999-01-04T06:11:12,1999-01-04T16:44:13,0.57,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-05,24.1,10.7,16.9,24.1,10.7,16.9,13,80.2,0,0,0,,,,,5.4,20,1013.2,40,2.3,,,,,1999-01-05T06:11:25,1999-01-05T16:44:55,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-06,23.4,10.9,16.8,23.4,10.9,16.8,12.6,78.9,0,0,0,,,,,11.2,50,1012.1,61.7,1.8,,,,,1999-01-06T06:11:36,1999-01-06T16:45:38,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-07,24.1,13.1,18.2,24.1,13.1,18.2,12.9,73.7,0,0,0,,,,,7.6,33.2,1012.5,58.3,2.3,,,,,1999-01-07T06:11:46,1999-01-07T16:46:21,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-08,24.1,11.7,17.1,24.1,11.7,17.1,12.5,77.7,0,0,0,,,,,0,,1012,8.6,3.3,,,,,1999-01-08T06:11:54,1999-01-08T16:47:05,0.7,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-09,24.4,13.2,18.5,24.4,13.2,18.5,12.6,72.5,0,0,0,,,,,7.6,115,1012.7,31.7,2.3,,,,,1999-01-09T06:12:01,1999-01-09T16:47:49,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-10,14.1,14.1,14.1,14.1,14.1,14.1,13.4,95.6,0,0,0,,,,,7.6,180,1013.4,10,1,,,,,1999-01-10T06:12:07,1999-01-10T16:48:34,0.76,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-11,19.1,11.7,15,19.1,11.7,15,11.4,80.1,0,0,0,,,,,5.4,67.5,1017.5,28.3,2,,,,,1999-01-11T06:12:10,1999-01-11T16:49:19,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-12,20.4,10.9,13.8,20.4,10.9,13.8,10.9,84.4,0,0,0,,,,,11.2,50,1016.7,6.7,2.3,,,,,1999-01-12T06:12:13,1999-01-12T16:50:04,0.83,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-13,24.1,8.9,16.2,24.1,8.9,16.2,11.2,75.5,0,0,0,,,,,14.8,36.8,1014.5,1.3,2.3,,,,,1999-01-13T06:12:14,1999-01-13T16:50:50,0.86,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-14,25.1,10.9,17.1,25.1,10.9,17.1,11.3,74.1,0,0,0,,,,,0,,1017.2,0,2,,,,,1999-01-14T06:12:13,1999-01-14T16:51:36,0.89,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-15,25.4,12.4,18.6,25.4,12.4,18.6,12,68.8,0,0,0,,,,,5.4,50,1015.8,17.1,2.3,,,,,1999-01-15T06:12:11,1999-01-15T16:52:22,0.92,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-16,24.9,15.2,19.6,24.9,15.2,19.6,11.7,63,0,0,0,,,,,11.2,27.3,1015.6,18,2.4,,,,,1999-01-16T06:12:07,1999-01-16T16:53:09,0.96,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-17,21.7,10.4,15.4,21.7,10.4,15.4,12.4,83.5,0,0,0,,,,,0,,1015.2,11.7,2.3,,,,,1999-01-17T06:12:02,1999-01-17T16:53:55,0,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-18,25.4,12.4,18.9,25.4,12.4,18.9,11.9,67.7,0,0,0,,,,,7.6,34.5,1014.1,10,2.3,,,,,1999-01-18T06:11:55,1999-01-18T16:54:42,0.02,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-19,25.4,10.7,17.7,25.4,10.7,17.7,12.8,75.7,0,0,0,,,,,7.6,62.1,1014.4,8.6,2.3,,,,,1999-01-19T06:11:47,1999-01-19T16:55:29,0.06,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-20,25.2,12.4,18.4,25.2,12.4,18.4,12,70.4,0,0,0,,,,,11.2,39.1,1015.4,1.4,2.1,,,,,1999-01-20T06:11:37,1999-01-20T16:56:16,0.09,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-21,26.1,10.7,17.1,26.1,10.7,17.1,12.7,78.3,0,0,0,,,,,11.2,157.5,1014.7,0,2.8,,,,,1999-01-21T06:11:26,1999-01-21T16:57:03,0.13,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-22,25.7,12.2,18.2,25.7,12.2,18.2,12.1,71.6,0,0,0,,,,,5.4,115,1012.5,14,2.8,,,,,1999-01-22T06:11:13,1999-01-22T16:57:50,0.16,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-23,25.9,11.4,17,25.9,11.4,17,12.7,78.7,0,0,0,,,,,11.2,15.7,1013.9,1.4,2.6,,,,,1999-01-23T06:10:59,1999-01-23T16:58:37,0.2,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-24,26.7,16.1,20.2,26.7,16.1,20.2,12.8,65.6,0,0,0,,,,,11.2,19.9,1013.4,0,3,,,,,1999-01-24T06:10:43,1999-01-24T16:59:24,0.24,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-25,26.2,13.2,19.1,26.2,13.2,19.1,14.3,76.3,0,0,0,,,,,3.6,360,1012.1,32.9,2.6,,,,,1999-01-25T06:10:26,1999-01-25T17:00:10,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-26,26.1,15.9,20.5,26.1,15.9,20.5,14.7,71.5,0,0,0,,,,,7.6,180,1009.7,54.3,2.9,,,,,1999-01-26T06:10:07,1999-01-26T17:00:57,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-27,25.7,14.2,19.3,25.7,14.2,19.3,14.3,75.3,0,0,0,,,,,0,,1010.2,46.3,2.3,,,,,1999-01-27T06:09:47,1999-01-27T17:01:43,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-28,27.1,14.1,20.6,26.7,14.1,20.5,13.9,69.7,0,0,0,,,,,14.8,40.8,1011,18.6,2.3,,,,,1999-01-28T06:09:25,1999-01-28T17:02:30,0.38,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-29,27.1,13.4,19.2,27.1,13.4,19.2,14.5,76.7,0,0,0,,,,,7.6,360,1009.6,18.8,2.4,,,,,1999-01-29T06:09:02,1999-01-29T17:03:16,0.41,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-01-30,23.7,15.4,19.6,23.7,15.4,19.6,14.4,73.8,0,0,0,,,,,11.2,314.9,1009.6,33.3,2,,,,,1999-01-30T06:08:38,1999-01-30T17:04:01,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-01-31,25.2,15.2,19.6,25.2,15.2,19.6,9.9,57.6,0,0,0,,,,,9.4,349.9,1012.2,16.7,3.3,,,,,1999-01-31T06:08:12,1999-01-31T17:04:47,0.5,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-02-01,26.2,15.1,20.3,26.2,15.1,20.3,12.9,65,0,0,0,,,,,11.2,50,1014.1,15,2,,,,,1999-02-01T06:07:45,1999-02-01T17:05:32,0.52,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-02-02,24.4,15.2,19.5,24.4,15.2,19.5,13,68.8,0,0,0,,,,,9.4,84.9,1015,8,2.8,,,,,1999-02-02T06:07:16,1999-02-02T17:06:17,0.55,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-02-03,28.1,12.1,19.6,27.5,12.1,19.5,12.8,68.7,0,0,0,,,,,7.6,360,1014.2,7.1,2.9,,,,,1999-02-03T06:06:47,1999-02-03T17:07:02,0.58,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-02-04,26.1,12.9,18.6,26.1,12.9,18.6,13.1,73.3,0,0,0,,,,,11.2,295.3,1014.2,0,2.6,,,,,1999-02-04T06:06:15,1999-02-04T17:07:46,0.62,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-02-05,25.1,14.4,19.6,25.1,14.4,19.6,14.8,75.7,0,0,0,,,,,11.2,310,1015.4,47.1,2.3,,,,,1999-02-05T06:05:43,1999-02-05T17:08:30,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-02-06,25.4,13.7,19.2,25.4,13.7,19.2,14.9,78.3,0,0,0,,,,,0,,1016.3,8.3,2.2,,,,,1999-02-06T06:05:09,1999-02-06T17:09:14,0.68,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-02-07,28.7,14.4,20.8,28.2,14.4,20.7,14.6,71.1,0,0,0,,,,,11.2,360,1015.4,8.6,2.9,,,,,1999-02-07T06:04:34,1999-02-07T17:09:57,0.71,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-02-08,29.7,14.1,20.8,30.6,14.1,21.1,15.2,74.4,0,0,0,,,,,9.4,14.4,1014.7,0,2.5,,,,,1999-02-08T06:03:58,1999-02-08T17:10:40,0.75,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-02-09,28.9,15.1,21,28.2,15.1,20.9,15.3,73.6,0,0,0,,,,,3.6,270,1013.9,28.8,2.1,,,,,1999-02-09T06:03:20,1999-02-09T17:11:22,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-02-10,24.1,16.9,20.5,24.1,16.9,20.5,16,76.4,0,0,0,,,,,0,,1013.6,58,2,,,,,1999-02-10T06:02:41,1999-02-10T17:12:05,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1999-02-11,30.9,18.1,24.5,29.5,18.1,24.3,14.3,57.2,0,0,0,,,,,0,,1014.7,2,2.4,,,,,1999-02-11T06:02:01,1999-02-11T17:12:46,0.84,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1999-02-12,31.2,14.4,21.7,30.2,14.4,21.6,14.7,68.7,0,0,0,,,,,5.4,180,1015.3,0,2.3,,,,,1999-02-12T06:01:20,1999-02-12T17:13:28,0.87,Clear,Clear conditions throughout the day.,clear-day,42410099999
