name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
guwahati,2019-01-01,24.7,10.9,16.9,24.7,10.9,16.9,13,79.9,0,0,0,,0,0,23.8,11.2,27.1,1019.4,24.5,2.3,176,15.2,7,,2019-01-01T06:10:27,2019-01-01T16:42:15,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
guwahati,2019-01-02,24.7,10,17,24.7,10,17,12.6,78,0,0,0,,0,0,25.9,14.4,18,1018.8,25.8,2.8,175.1,15.2,7,,2019-01-02T06:10:43,2019-01-02T16:42:55,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
guwahati,2019-01-03,25,12,18.1,25,12,18.1,13.5,76.6,0,0,0,,0,0,19.1,7.6,8.7,1018.5,35.8,3.2,157.5,13.6,6,,2019-01-03T06:10:59,2019-01-03T16:43:36,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
guwahati,2019-01-04,23,11.9,17.4,23,11.9,17.4,13.9,81.1,0,0,0,,0,0,28.8,14.8,30,1020.1,38.6,2.6,150.7,12.9,6,,2019-01-04T06:11:13,2019-01-04T16:44:17,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,remote,42516099999,42512099999"
guwahati,2019-01-05,23.7,10.8,16.6,23.7,10.8,16.6,12.4,78.2,0,0,0,,0,0,29.5,17.3,34,1019.1,36.4,2.9,174.9,15.1,7,,2019-01-05T06:11:25,2019-01-05T16:44:59,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
guwahati,2019-01-06,25,11,16.8,25,11,16.8,12.1,76.7,0,0,0,,0,0,29.9,18,28.5,1017.3,40.9,2.8,174.2,15.2,7,,2019-01-06T06:11:36,2019-01-06T16:45:42,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42408099999,42516099999,42512099999"
guwahati,2019-01-07,26,10,17.2,26,10,17.2,12.4,76.3,0,0,0,,0,0,32.8,14.8,36.2,1014.7,25,2.8,179.2,15.5,7,,2019-01-07T06:11:45,2019-01-07T16:46:26,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
guwahati,2019-01-08,25.7,11,17.8,25.7,11,17.8,13.4,77.4,0,0,0,,0,0,16.6,9.4,209.8,1012.8,20.7,3.4,174.4,15.2,7,,2019-01-08T06:11:54,2019-01-08T16:47:10,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
guwahati,2019-01-09,25,12.5,18.5,25,12.5,18.5,14.1,77.7,0.007,100,4.17,rain,0,0,20.5,10.8,21.9,1014.7,39.3,2.6,160.6,13.8,6,,2019-01-09T06:12:00,2019-01-09T16:47:54,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
guwahati,2019-01-10,23.7,12.9,17.8,23.7,12.9,17.8,14.3,81.1,0,0,0,,0,0,25.2,13,24.9,1016.2,62.5,2.3,147.9,12.8,6,,2019-01-10T06:12:05,2019-01-10T16:48:39,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
guwahati,2019-01-11,24.7,11.7,17.6,24.7,11.7,17.6,13.5,78.9,0,0,0,,0,0,28.1,17.6,29.1,1016.7,38.8,2.4,176.9,15.3,7,,2019-01-11T06:12:09,2019-01-11T16:49:24,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
guwahati,2019-01-12,25,11.3,17.7,25,11.3,17.7,13.5,78.4,0,0,0,,0,0,29.9,14.9,14.6,1016.7,31.2,2.6,181.1,15.6,7,,2019-01-12T06:12:11,2019-01-12T16:50:09,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42512099999"
