name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
guwahati,1987-01-01,20.4,9.2,15.7,20.4,9.2,15.7,10.7,73.8,0,0,0,,,,,9.4,320,1014.9,26,3.6,,,,,1987-01-01T06:10:28,1987-01-01T16:42:09,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1987-01-02,22.4,14.4,17.6,22.4,14.4,17.6,12.3,73.6,0,0,0,,,,,9.4,50,1014.7,23.2,3.2,,,,,1987-01-02T06:10:45,1987-01-02T16:42:49,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,42516099999"
guwahati,1987-01-03,22.4,11.1,15.3,22.4,11.1,15.3,11,78.2,0,0,0,,,,,9.4,50,1017.1,6.7,2.7,,,,,1987-01-03T06:11:01,1987-01-03T16:43:29,0.1,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1987-01-04,22.9,9.2,16.9,22.9,9.2,16.9,10.1,67.2,0,0,0,,,,,14.8,70,1017.2,2,2.4,,,,,1987-01-04T06:11:15,1987-01-04T16:44:11,0.14,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1987-01-05,23.1,11.4,16.2,23.1,11.4,16.2,10.7,72.8,0,0,0,,,,,13,55.8,1016.4,0,4,,,,,1987-01-05T06:11:28,1987-01-05T16:44:53,0.17,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1987-01-06,23.4,9.7,16.9,23.4,9.7,16.9,11.7,74.2,0,0,0,,,,,14.8,37.4,1018,0,2.8,,,,,1987-01-06T06:11:39,1987-01-06T16:45:36,0.21,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1987-01-07,23.1,11.7,15.8,23.1,11.7,15.8,11.4,78,0,0,0,,,,,18.4,50,1019.1,46.3,3.1,,,,,1987-01-07T06:11:49,1987-01-07T16:46:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1987-01-08,22.4,11.9,17.1,22.4,11.9,17.1,13.3,80.3,13,100,8.33,rain,,,,9.4,80.4,1016.9,56.7,2.7,,,,,1987-01-08T06:11:57,1987-01-08T16:47:03,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,42410099999
guwahati,1987-01-09,24.2,12.1,18.7,24.2,12.1,18.7,13.5,73.9,0,0,0,,,,,14.8,57.7,1016.2,31.4,3.3,,,,,1987-01-09T06:12:04,1987-01-09T16:47:47,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,42410099999
guwahati,1987-01-10,24.4,13.1,17.9,24.4,13.1,17.9,13.8,79.3,0,0,0,,,,,14.8,50,1018.2,17.1,2.7,,,,,1987-01-10T06:12:10,1987-01-10T16:48:32,0.34,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1987-01-11,24.4,11.4,18.9,24.4,11.4,18.9,13.3,73.1,0,0,0,,,,,18.4,53.8,1018.2,65,3.2,,,,,1987-01-11T06:12:14,1987-01-11T16:49:17,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1987-01-12,19.9,15.4,17.5,19.9,15.4,17.5,14.9,85.3,0,0,0,,,,,0,,1019.5,95,1.8,,,,,1987-01-12T06:12:16,1987-01-12T16:50:02,0.41,Overcast,Cloudy skies throughout the day.,cloudy,42410099999
guwahati,1987-01-13,22.4,13.4,16.9,22.4,13.4,16.9,10.7,73.3,0,0,0,,,,,18.4,73.3,1020,8,2.8,,,,,1987-01-13T06:12:17,1987-01-13T16:50:48,0.44,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1987-01-14,23.1,10.4,16.9,23.1,10.4,16.9,12.6,77.5,0,0,0,,,,,11.2,138.6,1016.5,22.9,2.9,,,,,1987-01-14T06:12:16,1987-01-14T16:51:34,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
