name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
guwahati,1978-01-01,21.1,13.1,16.5,21.1,13.1,16.5,12.7,79.7,0,0,0,,,,,3.6,180,1017,48,4,,,,,1978-01-01T06:10:31,1978-01-01T16:42:17,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1978-01-02,16.4,12.1,14.1,16.4,12.1,14.1,12.3,89.4,0,0,0,,,,,7.6,229,1017.4,48,4,,,,,1978-01-02T06:10:48,1978-01-02T16:42:57,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,42516099999"
guwahati,1978-01-03,20.1,7.1,14.5,20.1,7.1,14.5,10.4,79.7,20.2,100,4.17,rain,,,,7.6,109.9,1018.2,49.2,3.2,,,,,1978-01-03T06:11:03,1978-01-03T16:43:38,0.8,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"42410099999,42516099999"
guwahati,1978-01-04,21.1,7.1,14.1,21.1,5.7,13.9,8.1,69.7,0,0,0,,,,,11.2,96.8,1019.7,12.3,11.6,,,,,1978-01-04T06:11:17,1978-01-04T16:44:20,0.83,Clear,Clear conditions throughout the day.,clear-day,"42410099999,42516099999"
guwahati,1978-01-05,22.1,8.1,16.1,22.1,8.1,16.1,11.1,75,0,0,0,,,,,9.4,50,1018.2,36,3.4,,,,,1978-01-05T06:11:30,1978-01-05T16:45:02,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1978-01-06,20.1,10.1,13.8,20.1,10.1,13.8,10.8,83.8,0,0,0,,,,,5.4,121,1017.8,8.3,3.8,,,,,1978-01-06T06:11:41,1978-01-06T16:45:45,0.9,Clear,Clear conditions throughout the day.,clear-day,42410099999
guwahati,1978-01-07,22.1,9.1,16.8,22.1,9.1,16.8,11.9,75.2,0,0,0,,,,,7.6,50,1017.5,50,4,,,,,1978-01-07T06:11:50,1978-01-07T16:46:28,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1978-01-08,22.1,11.8,16.3,22.1,11.8,16.3,11.3,75.8,0,0,0,,,,,7.6,177.3,1017.7,28.5,4.9,,,,,1978-01-08T06:11:58,1978-01-08T16:47:12,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,42516099999"
guwahati,1978-01-09,21.1,9.1,15.5,21.1,9.1,15.5,11.4,78.3,0,0,0,,,,,7.6,28.6,1019.2,52.5,3.5,,,,,1978-01-09T06:12:05,1978-01-09T16:47:56,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,42516099999"
guwahati,1978-01-10,22.1,15.1,18.3,22.1,15.1,18.3,12.3,69.6,0,0,0,,,,,98.3,331.1,1018.1,57.2,4.9,,,,,1978-01-10T06:12:10,1978-01-10T16:48:41,0.04,Partially cloudy,Partly cloudy throughout the day.,wind,"42410099999,42414099999,42516099999"
guwahati,1978-01-11,20.1,10.1,14.9,20.1,10.1,14.9,10.5,76.8,0,0,0,,,,,0,,1020.3,21.4,5.4,,,,,1978-01-11T06:12:14,1978-01-11T16:49:26,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,42516099999"
guwahati,1978-01-12,21.1,8.1,15.9,21.1,8.1,15.9,10.7,72.9,0,0,0,,,,,14.8,55.6,1019.2,48,3.2,,,,,1978-01-12T06:12:16,1978-01-12T16:50:12,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42410099999
guwahati,1978-01-13,19.1,9.1,15.4,19.1,9.1,15.4,11.1,77,0,0,0,,,,,8.9,68.9,1014.9,47.2,4.2,,,,,1978-01-13T06:12:17,1978-01-13T16:50:57,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,42516099999"
guwahati,1978-01-14,16.4,9.1,11.5,16.4,9.1,11.5,9.6,89.6,0,0,0,,,,,0,,1012.2,10,3.9,,,,,1978-01-14T06:12:16,1978-01-14T16:51:43,0.17,Clear,Clear conditions throughout the day.,clear-day,"42410099999,42516099999"
guwahati,1978-01-15,30.1,20.1,25.6,28.6,20.1,25.1,10.9,41.6,0,0,0,,,,,5.4,50,1014.4,31.1,4,,,,,1978-01-15T06:12:14,1978-01-15T16:52:30,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,42516099999"
