name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
guwahati,2018-01-01,27,13.4,20,27.9,13.4,20,15.7,78.4,0,0,0,,0,0,11.9,14.8,32.2,1012.3,39.4,2.9,0,0,0,,2018-01-01T06:10:30,2018-01-01T16:42:24,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42408099999,remote,42516099999,42409099999,42512099999"
guwahati,2018-01-02,26,14.4,20.4,26,14.4,20.4,17.1,82.6,0,0,0,,0,0,27.7,13,29.4,1010.7,67.2,2.8,84.5,4.5,6,,2018-01-02T06:10:47,2018-01-02T16:43:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42408099999,42516099999,42409099999,42512099999"
guwahati,2018-01-03,24,14.1,18.6,24,14.1,18.6,16.6,88.8,1.359,100,8.33,rain,0,0,19.1,11.2,256.3,1011.2,46.6,2.3,127.3,10.9,5,,2018-01-03T06:11:02,2018-01-03T16:43:45,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2018-01-04,24,13.1,17.7,24,13.1,17.7,15.2,86,0,0,0,,0,0,23.4,11.8,20.6,1014.6,21.4,1.8,110.2,9.6,5,,2018-01-04T06:11:15,2018-01-04T16:44:27,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2018-01-05,25,12.9,18,25,12.9,18,15.5,86.1,0,0,0,,0,0,18,11.5,285.1,1012.2,29.8,2.1,161.8,13.9,7,,2018-01-05T06:11:27,2018-01-05T16:45:10,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2018-01-06,23.8,13.4,17.7,23.8,13.4,17.7,13.9,80.1,0,0,0,,0,0,27,14.3,236.9,1011.5,34.6,2.4,155,13.4,6,,2018-01-06T06:11:38,2018-01-06T16:45:52,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2018-01-07,19,11.4,14.3,19,11.4,14.3,11.5,84.1,0,0,0,,0,0,20.2,11.2,245.9,1013.7,19.8,1.6,172.4,15,7,,2018-01-07T06:11:47,2018-01-07T16:46:36,0.67,Clear,Clear conditions throughout the day.,clear-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2018-01-08,22,8.2,14.5,22,8.2,14.5,12,86,0,0,0,,0,0,19.1,13.1,291.6,1015.6,19.7,1.8,149.2,12.9,6,,2018-01-08T06:11:55,2018-01-08T16:47:20,0.71,Clear,Clear conditions throughout the day.,clear-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2018-01-09,23,9.1,15.4,23,9.1,15.4,12.4,83.8,0,0,0,,0,0,17.6,11.6,79,1016,18.4,1.9,165.4,14.3,7,,2018-01-09T06:12:01,2018-01-09T16:48:04,0.75,Clear,Clear conditions throughout the day.,clear-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2018-01-10,24,10.4,16,24,10.4,16,12.9,83.9,0,0,0,,0,0,16.9,9.4,242.2,1015.6,22.7,2.3,168.4,14.5,7,,2018-01-10T06:12:06,2018-01-10T16:48:49,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
