name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
guwahati,2022-01-01,23.9,12,17.1,23.9,12,17.1,13.1,80.1,0,0,0,,0,0,22.3,7.6,31.3,1018.9,56.1,2.5,151.2,13.2,6,,2022-01-01T06:10:33,2022-01-01T16:42:26,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-02,25,11.1,17.2,25,11.1,17.2,13.3,80.4,0,0,0,,0,0,23.4,14.8,37.9,1017.1,33.1,2.7,175.1,15.2,7,,2022-01-02T06:10:49,2022-01-02T16:43:07,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42410099999,VEGT,42516099999,42512099999"
guwahati,2022-01-03,24.4,12.2,17.7,24.4,12.2,17.7,14,81.6,0,0,0,,0,0,20.9,7.6,9.3,1015.7,44.2,2.9,166,14.3,6,,2022-01-03T06:11:04,2022-01-03T16:43:48,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42516099999,42409099999,42512099999"
guwahati,2022-01-04,24,12.3,17.7,24,12.3,17.7,13.6,79.8,0,0,0,,0,0,21.6,7.4,37.8,1016.7,27.8,2.7,167.8,14.5,6,,2022-01-04T06:11:18,2022-01-04T16:44:30,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42516099999,42409099999,42512099999"
guwahati,2022-01-05,25,11.8,17.9,25,11.8,17.9,13.1,76.7,0,0,0,,0,0,22,5.4,43.8,1016.1,47.1,2.7,166.9,14.4,6,,2022-01-05T06:11:30,2022-01-05T16:45:12,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42512099999"
guwahati,2022-01-06,25,12.2,17.9,25,12.2,17.9,13.4,78,0,0,0,,0,0,24.8,7.6,18.9,1015.5,34.9,3.1,171.5,14.9,7,,2022-01-06T06:11:40,2022-01-06T16:45:55,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42516099999,42409099999,42512099999"
guwahati,2022-01-07,26,12.5,18.5,26,12.5,18.5,13.5,76.7,0,0,0,,0,0,22.3,7.6,13.2,1016.3,40.6,3.1,164.3,14.1,6,,2022-01-07T06:11:49,2022-01-07T16:46:39,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42516099999,42409099999,42512099999"
guwahati,2022-01-08,26.1,12.7,18.8,26.1,12.7,18.8,14,76.5,0,0,0,,0,0,23.4,7.3,27.2,1016,20.3,2.9,172.8,14.9,7,,2022-01-08T06:11:57,2022-01-08T16:47:23,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-09,26,13.1,19.4,26,13.1,19.4,14.1,74.3,0,0,0,,0,0,20.9,11.2,359.9,1014,31.8,2.9,170.9,14.8,7,,2022-01-09T06:12:03,2022-01-09T16:48:07,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-10,26,14.7,19.7,26,14.7,19.7,14.6,75.4,0,0,0,,0,0,22,11.2,13.9,1014.7,50.3,3,146.4,12.6,6,10,2022-01-10T06:12:08,2022-01-10T16:48:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-11,24.9,15,19.3,24.9,15,19.3,15.7,81.7,0,0,0,,0,0,10.4,5.4,25.9,1014.8,66.6,3.7,152,13.1,6,10,2022-01-11T06:12:11,2022-01-11T16:49:37,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42512099999"
guwahati,2022-01-12,23.7,13.5,19.3,23.7,13.5,19.3,14.6,75.5,15.397,100,12.5,rain,0,0,32.4,14.8,47.5,1014.9,91.1,7.9,156.5,13.4,7,10,2022-01-12T06:12:13,2022-01-12T16:50:23,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-13,22.9,14.9,18.1,22.9,14.9,18.1,15.4,85.7,10.394,100,4.17,rain,0,0,24.5,9.4,320.2,1015.3,77.2,3.2,155.7,13.5,7,10,2022-01-13T06:12:13,2022-01-13T16:51:09,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42410099999,VEGT,42414099999,42516099999,42512099999"
guwahati,2022-01-14,20.7,13.5,16.9,20.7,13.5,16.9,15.1,89.8,0,0,0,,0,0,16.6,7.4,24.4,1017,79.9,3.1,121.3,10.5,5,10,2022-01-14T06:12:12,2022-01-14T16:51:55,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-15,22.9,13,17,22.9,13,17,14.6,87,0,0,0,,0,0,18,7.6,24.6,1015.7,59.9,2.2,171.5,14.7,7,10,2022-01-15T06:12:09,2022-01-15T16:52:41,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,42516099999,42512099999"
guwahati,2022-01-16,25,10.8,17,25,10.8,17,13.6,82.7,0,0,0,,0,0,10.8,9.3,34.6,1016.7,25,6.2,182.7,15.8,7,10,2022-01-16T06:12:05,2022-01-16T16:53:28,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-17,23.9,11.8,17.5,23.9,11.8,17.5,13,77.5,0,0,0,,0,0,21.6,7.6,28,1017.7,25.7,5.7,178.4,15.3,7,10,2022-01-17T06:11:59,2022-01-17T16:54:15,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-18,22.2,11.7,16.7,22.2,11.7,16.7,13.2,82.1,0,0,0,,0,0,22,9.2,43.3,1015.5,70.2,3.4,123.2,10.6,6,10,2022-01-18T06:11:52,2022-01-18T16:55:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-19,24.4,12,17.6,24.4,12,17.6,13.6,79.6,0.013,100,4.17,rain,0,0,14,7.4,14.5,1012.7,60,2.6,178.2,15.5,7,10,2022-01-19T06:11:43,2022-01-19T16:55:48,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42410099999,VEGT,42414099999,42516099999,42409099999,42512099999"
guwahati,2022-01-20,22,13.4,16.8,22,13.4,16.8,13.9,84.7,0.653,100,4.17,rain,0,0,25.6,17.6,50.6,1010.9,76.2,2.9,157.7,13.7,6,10,2022-01-20T06:11:32,2022-01-20T16:56:35,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42410099999,VEGT,42414099999,remote,42516099999,42409099999,42512099999"
guwahati,2022-01-21,22,13.6,16.9,22,13.6,16.9,13.1,80.6,0.135,100,4.17,rain,0,0,28.4,9.4,76.5,1011.7,65.1,5,168.4,14.4,7,10,2022-01-21T06:11:20,2022-01-21T16:57:22,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42410099999,VEGT,42414099999,remote,42516099999,42512099999"
